sample_id,t,rot_err_deg,error_type
sample_0035,1,0.10500250183046958,relative
sample_0035,2,0.12094356815367044,relative
sample_0035,3,0.24113145737043176,relative
sample_0035,4,0.3467981548774298,relative
sample_0035,5,0.0,relative
sample_0035,6,0.32543809356446246,relative
sample_0035,0,0.0,cumulative
sample_0035,1,0.10500250183046958,cumulative
sample_0035,2,0.20882093427463175,cumulative
sample_0035,3,0.4107999042392004,cumulative
sample_0035,4,0.4972781589974298,cumulative
sample_0035,5,0.19159421545433467,cumulative
sample_0035,6,0.7070351542714854,cumulative
sample_0036,1,0.20954536073891494,relative
sample_0036,2,0.36772870076809816,relative
sample_0036,3,0.3172957465495248,relative
sample_0036,4,0.3414306077080171,relative
sample_0036,5,0.0,relative
sample_0036,6,0.6549079672102028,relative
sample_0036,0,0.019782341029446364,cumulative
sample_0036,1,0.20954536073891494,cumulative
sample_0036,2,0.4298150631445669,cumulative
sample_0036,3,0.5488730429009541,cumulative
sample_0036,4,0.7039380299823972,cumulative
sample_0036,5,0.7930962931623816,cumulative
sample_0036,6,0.9818206689674246,cumulative
sample_0037,1,0.005983436739580936,relative
sample_0037,2,0.10877973250958341,relative
sample_0037,3,0.11294983662487801,relative
sample_0037,4,0.13709022703713328,relative
sample_0037,5,0.1950972874748622,relative
sample_0037,6,0.20452679595558235,relative
sample_0037,0,0.0,cumulative
sample_0037,1,0.005983436739580936,cumulative
sample_0037,2,0.11282629650219367,cumulative
sample_0037,3,0.20211307676484677,cumulative
sample_0037,4,0.2560046681678971,cumulative
sample_0037,5,0.3739363414498403,cumulative
sample_0037,6,0.4669988983982401,cumulative
sample_0038,1,0.1657639201776189,relative
sample_0038,2,0.2334772574983819,relative
sample_0038,3,0.2084872215344738,relative
sample_0038,4,0.09867775152771119,relative
sample_0038,5,0.17101659278018003,relative
sample_0038,6,0.2604055173045186,relative
sample_0038,0,0.019782341029446364,cumulative
sample_0038,1,0.1657639201776189,cumulative
sample_0038,2,0.3018240277034524,cumulative
sample_0038,3,0.3884759529833396,cumulative
sample_0038,4,0.37848262888426304,cumulative
sample_0038,5,0.4792173625975115,cumulative
sample_0038,6,0.49307358999660567,cumulative
sample_0039,1,0.12753933368804735,relative
sample_0039,2,0.10306618509719889,relative
sample_0039,3,0.10618636579077377,relative
sample_0039,4,0.08454000419628607,relative
sample_0039,5,0.2452344513935881,relative
sample_0039,6,0.19657067826042493,relative
sample_0039,0,0.0,cumulative
sample_0039,1,0.12753933368804735,cumulative
sample_0039,2,0.17907904312390793,cumulative
sample_0039,3,0.2469821717002656,cumulative
sample_0039,4,0.189200311704317,cumulative
sample_0039,5,0.3966172002970137,cumulative
sample_0039,6,0.4536167771953806,cumulative
sample_0040,1,0.5478510467863467,relative
sample_0040,2,1.8612664211092,relative
sample_0040,3,3.7339785103641785,relative
sample_0040,4,4.034352616363932,relative
sample_0040,5,0.7227708734384725,relative
sample_0040,6,0.7396953704449007,relative
sample_0040,0,0.0,cumulative
sample_0040,1,0.5478510467863467,cumulative
sample_0040,2,1.8007466766551692,cumulative
sample_0040,3,5.118738573508,cumulative
sample_0040,4,9.09803681940892,cumulative
sample_0040,5,9.771138736334464,cumulative
sample_0040,6,9.615466501266589,cumulative
sample_0041,1,0.32042588751286943,relative
sample_0041,2,0.34401335473036015,relative
sample_0041,3,0.3671442087961492,relative
sample_0041,4,0.3558159994962785,relative
sample_0041,5,0.256389502821801,relative
sample_0041,6,0.0,relative
sample_0041,0,0.0,cumulative
sample_0041,1,0.32042588751286943,cumulative
sample_0041,2,0.6563599347442682,cumulative
sample_0041,3,1.0156848781255143,cumulative
sample_0041,4,1.3916595222599308,cumulative
sample_0041,5,1.640382169214509,cumulative
sample_0041,6,1.8791959477329037,cumulative
sample_0042,1,0.7583949120805339,relative
sample_0042,2,0.474124313894621,relative
sample_0042,3,0.0,relative
sample_0042,4,0.649711323455628,relative
sample_0042,5,0.0,relative
sample_0042,6,0.5146765971996877,relative
sample_0042,0,0.0,cumulative
sample_0042,1,0.7583949120805339,cumulative
sample_0042,2,0.5044782874203277,cumulative
sample_0042,3,0.18590458052903497,cumulative
sample_0042,4,0.3410528870808794,cumulative
sample_0042,5,0.1386249905290113,cumulative
sample_0042,6,0.633938641345455,cumulative
sample_0043,1,0.12073526699920778,relative
sample_0043,2,0.16457327451557566,relative
sample_0043,3,0.05381231508330644,relative
sample_0043,4,0.14841158151973477,relative
sample_0043,5,0.17377626136306307,relative
sample_0043,6,0.0,relative
sample_0043,0,0.0,cumulative
sample_0043,1,0.12073526699920778,cumulative
sample_0043,2,0.28456808352502017,cumulative
sample_0043,3,0.31820340797874086,cumulative
sample_0043,4,0.4527114059793488,cumulative
sample_0043,5,0.6253261218608521,cumulative
sample_0043,6,0.6066852441663947,cumulative
sample_0044,1,0.19679145700275408,relative
sample_0044,2,0.14972627574476938,relative
sample_0044,3,0.1396684216786878,relative
sample_0044,4,0.1983348674663946,relative
sample_0044,5,0.10839433637007409,relative
sample_0044,6,0.11490786174584025,relative
sample_0044,0,0.0,cumulative
sample_0044,1,0.19679145700275408,cumulative
sample_0044,2,0.12368282459279051,cumulative
sample_0044,3,0.040885935916288293,cumulative
sample_0044,4,0.2288106844586505,cumulative
sample_0044,5,0.1444204107661131,cumulative
sample_0044,6,0.16430895570457962,cumulative
sample_0045,1,0.18502431195248717,relative
sample_0045,2,0.2143868306625752,relative
sample_0045,3,0.0,relative
sample_0045,4,0.0,relative
sample_0045,5,0.0,relative
sample_0045,6,0.0,relative
sample_0045,0,0.0,cumulative
sample_0045,1,0.18502431195248717,cumulative
sample_0045,2,0.3444255678087149,cumulative
sample_0045,3,0.21863129146707572,cumulative
sample_0045,4,0.0,cumulative
sample_0045,5,0.0,cumulative
sample_0045,6,0.25304257710527267,cumulative
sample_0046,1,0.06102711401293926,relative
sample_0046,2,0.1095854124215078,relative
sample_0046,3,0.29619245144667705,relative
sample_0046,4,0.12391545215299658,relative
sample_0046,5,0.1766708512956287,relative
sample_0046,6,0.10092425779277299,relative
sample_0046,0,0.019782341029446364,cumulative
sample_0046,1,0.06102711401293926,cumulative
sample_0046,2,0.16827616672365484,cumulative
sample_0046,3,0.45875354504950444,cumulative
sample_0046,4,0.5709793918824625,cumulative
sample_0046,5,0.5249541250959663,cumulative
sample_0046,6,0.48038524128907045,cumulative
sample_0047,1,0.12164717157165508,relative
sample_0047,2,0.28623229472587114,relative
sample_0047,3,0.1682048894216807,relative
